sequence,open_time,close,ema9,ema26,crossover_type,days_from_start,price_diff_abs
136,2025-04-14 17:00:00,1641.58,1644.760082968783,1645.0049747114874,死叉,72.70833333333333,22.1099999999999
137,2025-04-14 17:30:00,1648.11,1645.4300663750266,1645.2349765847107,金叉,72.72916666666667,6.529999999999973
138,2025-04-14 18:00:00,1641.17,1644.5780531000214,1644.9338672080655,死叉,72.75,6.939999999999827
139,2025-04-15 05:00:00,1641.96,1635.106921550747,1634.5432140181738,金叉,73.20833333333333,0.7899999999999636
140,2025-04-15 11:30:00,1632.05,1636.3114538574957,1636.9212736054542,死叉,73.47916666666667,9.910000000000082
141,2025-04-15 13:00:00,1640.03,1637.3245043750383,1637.1438622204553,金叉,73.54166666666667,7.980000000000018
142,2025-04-15 13:30:00,1629.0,1635.6596035000307,1636.5406131670884,死叉,73.5625,11.029999999999973
143,2025-04-16 15:00:00,1605.44,1585.3321092269055,1584.1593156170948,金叉,74.625,23.559999999999945
144,2025-04-16 17:30:00,1545.7,1581.785606351473,1583.633783289082,死叉,74.72916666666667,59.74000000000001
145,2025-04-16 21:30:00,1592.03,1582.6274830536968,1582.11391832548,金叉,74.89583333333333,46.32999999999993
146,2025-04-16 23:30:00,1577.14,1581.8059130587947,1582.0581420814174,死叉,74.97916666666667,14.889999999999873
147,2025-04-17 00:30:00,1585.2,1582.6581843576287,1582.347927024535,金叉,75.02083333333333,8.059999999999945
148,2025-04-17 14:00:00,1576.52,1592.4013605103082,1592.7983623343519,死叉,75.58333333333333,8.680000000000064
149,2025-04-17 16:30:00,1605.38,1592.6174250120182,1591.9008222250939,金叉,75.6875,28.860000000000127
150,2025-04-17 20:00:00,1588.14,1592.6102619058806,1593.2857852536254,死叉,75.83333333333333,17.24000000000001
151,2025-04-18 09:30:00,1588.44,1585.4410008773127,1585.1872612639163,金叉,76.39583333333333,0.2999999999999545
152,2025-04-18 16:00:00,1584.51,1586.4750666138011,1586.6786086054938,死叉,76.66666666666667,3.9300000000000637
153,2025-04-18 17:30:00,1591.86,1587.7320341062666,1587.1206695859796,金叉,76.72916666666667,7.349999999999909
154,2025-04-19 00:30:00,1586.21,1589.8844216766458,1590.0505180721725,死叉,77.02083333333333,5.649999999999864
155,2025-04-19 02:00:00,1594.71,1590.854983898443,1590.374639276416,金叉,77.08333333333333,8.5
156,2025-04-20 06:30:00,1605.44,1611.1902493687742,1611.8471044214741,死叉,78.27083333333333,10.730000000000018
157,2025-04-21 00:00:00,1609.59,1589.5644167702712,1587.0559338072476,金叉,79.0,4.149999999999864
158,2025-04-21 13:30:00,1611.88,1626.9551781663793,1627.167067270369,死叉,79.5625,2.290000000000191
159,2025-04-21 14:00:00,1637.34,1629.0321425331035,1627.9206178429342,金叉,79.58333333333333,25.45999999999981
160,2025-04-21 16:00:00,1613.66,1625.6281095815593,1627.015822838088,死叉,79.66666666666667,23.679999999999836
161,2025-04-22 07:30:00,1619.21,1589.5445973340652,1586.9211747842558,金叉,80.3125,5.5499999999999545
162,2025-04-24 02:30:00,1779.36,1790.6079326059953,1791.1097427915442,死叉,82.10416666666667,160.14999999999986
163,2025-04-24 16:30:00,1770.4,1764.2595629200991,1763.439229785558,金叉,82.6875,8.959999999999809
